Player,Team,Age,Position,GP,Games,FREQ%,DFGM,DFGA,DFG%,FG%,DIFF%,MP,Charges,BLKR
Domantas Sabonis,SAC,26,F-C,63,63,60.4,6.7,11.2,59.9,61.2,-1.3,34.5,0.03,0.3
Nikola Jokic,DEN,28,C,59,59,53.9,6.6,11.0,59.8,60.9,-1.1,33.7,0.07,0.2
Joel Embiid,PHI,28,C-F,53,53,52.6,5.7,10.1,56.4,60.2,-3.7,35.0,0.04,1.0
Myles Turner,IND,26,C-F,57,57,58.8,5.5,10.1,54.6,61.2,-6.6,29.6,0,1.5
Brook Lopez,MIL,34,C,65,65,44.5,5.2,10.1,51.6,61.0,-9.4,30.4,0,1.3
Kristaps Porzingis,WAS,27,F-C,57,56,54.4,5.0,9.7,51.5,60.5,-9.0,32.9,0,0.6
Nikola Vucevic,CHI,32,C,66,66,55.8,6.0,9.6,62.9,61.3,1.6,33.8,0.02,0.5
Jusuf Nurkic,POR,28,C,47,47,56.3,5.4,9.3,57.8,61.3,-3.5,27.0,0.02,0.6
Evan Mobley,CLE,21,C,67,67,54.0,5.2,9.3,55.4,59.9,-4.6,34.2,0.02,0.9
Rudy Gobert,MIN,30,C,56,56,51.2,5.0,9.2,54.7,60.3,-5.6,30.3,0,0.9
Jakob Poeltl,TOR,27,C,58,58,55.6,5.4,9.1,58.8,60.8,-2.0,26.4,0.05,0.9
Kelly Olynyk,UTA,31,F-C,55,55,55.2,5.0,8.7,57.2,60.5,-3.3,28.3,0.2,0.2
Anthony Davis,LAL,29,F-C,42,42,49.3,4.8,8.7,54.9,61.7,-6.8,33.4,0.05,1.0
Jarrett Allen,CLE,24,C,62,62,53.0,4.8,8.7,55.3,60.5,-5.2,33.0,0.05,0.9
Nic Claxton,BKN,23,C,62,62,54.3,4.3,8.4,51.1,60.0,-8.9,29.2,0,1.4
Scottie Barnes,TOR,21,F,65,65,53.4,4.9,8.2,59.4,60.3,-0.9,35.3,0.02,0.4
Ivica Zubac,LAC,25,C,62,62,46.7,4.4,8.2,54.3,61.6,-7.3,29.1,0,0.8
Zach Collins,SAS,25,F-C,54,54,59.0,4.4,8.0,54.6,61.2,-6.5,21.8,0.08,0.5
Alperen Sengun,HOU,20,C,61,61,53.1,4.7,7.8,60.4,61.1,-0.8,28.2,0.1,0.5
Mason Plumlee,LAC,33,F-C,64,63,53.3,4.8,7.8,61.1,61.7,-0.5,27.5,0.02,0.3
Steven Adams,MEM,29,C,42,42,54.9,3.9,7.8,49.8,60.7,-10.8,27.0,0.02,0.6
Walker Kessler,UTA,21,C,62,62,54.6,3.9,7.7,50.7,60.7,-10.0,22.2,0,1.3
Jaren Jackson Jr.,MEM,23,F-C,48,47,56.8,3.7,7.7,48.2,60.1,-11.8,27.7,0,2.1
Royce O'Neale,BKN,29,F,63,63,53.8,4.2,7.7,54.3,59.5,-5.2,32.5,0.02,0.4
Cade Cunningham,DET,21,G,12,12,49.5,4.4,7.7,57.6,60.1,-2.5,33.3,0,0.3
Wendell Carter Jr.,ORL,23,C-F,44,44,50.5,4.3,7.7,56.4,60.4,-4.0,29.6,0,0.3
Aleksej Pokusevski,OKC,21,F,31,30,62.0,4.3,7.6,56.2,61.0,-4.9,21.8,0,1.0
Kevin Durant,PHX,34,F,42,42,48.6,3.9,7.5,52.1,59.4,-7.4,35.7,0,0.6
Luka Doncic,DAL,24,F-G,56,56,51.7,4.6,7.5,61.7,59.7,2.0,36.3,0.07,0.2
Clint Capela,ATL,28,C,51,51,49.2,4.4,7.5,58.7,60.7,-2.0,26.8,0.26,0.9
Lauri Markkanen,UTA,25,F-C,60,59,55.5,3.8,7.4,50.4,60.3,-9.8,34.3,0,0.2
Fred VanVleet,TOR,29,G,56,56,48.6,4.5,7.4,61.0,59.3,1.6,37.0,0.02,0.2
Jalen Duren,DET,19,C,53,53,57.8,4.3,7.4,57.4,61.0,-3.6,25.0,0,0.6
Anfernee Simons,POR,23,G,58,58,52.0,4.6,7.3,62.2,58.9,3.3,35.3,0.04,0.1
Pascal Siakam,TOR,28,F,58,58,50.5,4.5,7.3,61.5,60.5,1.0,37.5,0.02,0.3
Onyeka Okongwu,ATL,22,F-C,65,65,56.7,4.0,7.3,55.7,60.2,-4.5,23.6,0,0.8
Josh Giddey,OKC,20,G,61,61,57.1,4.0,7.2,55.7,60.5,-4.8,30.8,0.02,0.2
John Collins,ATL,25,F-C,57,57,51.5,4.2,7.2,58.4,60.7,-2.3,30.3,0.18,0.7
Al Horford,BOS,36,C-F,52,52,44.7,3.7,7.2,51.7,60.2,-8.4,31.0,0,0.3
Jonas Valanciunas,NOP,30,C,62,62,56.2,4.6,7.1,64.3,62.1,2.2,24.7,0,0.2
Buddy Hield,IND,30,G,67,67,48.0,4.2,7.1,59.1,59.2,-0.1,31.9,0,0.2
Deandre Ayton,PHX,24,C,57,57,47.0,4.0,7.0,56.8,60.9,-4.1,30.3,0,0.4
Bam Adebayo,MIA,25,C-F,63,63,48.3,4.0,7.0,58.0,61.1,-3.2,34.9,0.03,0.3
Drew Eubanks,POR,26,F-C,65,64,56.6,4.1,7.0,58.3,60.6,-2.3,19.8,0.12,1.0
Shai Gilgeous-Alexander,OKC,24,G,56,56,47.5,3.9,6.9,56.4,58.9,-2.4,35.6,0,0.4
Kyrie Irving,DAL,30,G,51,51,51.1,3.6,6.9,52.7,58.1,-5.4,37.1,0.08,0.2
Derrick White,BOS,28,G,66,66,54.5,3.5,6.9,51.7,58.2,-6.6,27.9,0.19,0.4
Christian Wood,DAL,27,F,55,55,55.1,3.8,6.8,54.9,60.0,-5.1,26.8,0,0.7
Josh Hart,NYK,28,G,62,62,49.9,4.0,6.8,59.3,60.0,-0.8,32.7,0,0.1
P.J. Washington,CHA,24,F,62,62,50.5,3.8,6.8,55.6,60.2,-4.6,32.8,0,0.8
Dejounte Murray,ATL,26,G,62,61,55.4,4.0,6.7,59.7,58.8,0.8,36.4,0,0.1
Jabari Smith Jr.,HOU,19,F,63,63,47.6,3.9,6.7,58.5,59.9,-1.4,30.2,0,0.5
Kevon Looney,GSW,27,F,67,67,48.5,3.8,6.6,57.0,60.8,-3.9,23.2,0,0.2
Mark Williams,CHA,21,C,36,35,60.3,3.8,6.6,57.6,60.5,-2.9,17.7,0,0.5
Mikal Bridges,BKN,26,F,68,68,49.2,3.7,6.6,56.1,58.8,-2.7,35.9,0,0.4
Isaiah Stewart,DET,21,F-C,50,50,44.8,3.8,6.6,57.1,61.2,-4.1,28.3,0,0.4
Daniel Gafford,WAS,24,F-C,65,65,57.9,3.4,6.5,51.2,61.4,-10.2,19.6,0.02,0.6
Maxi Kleber,DAL,31,F,25,24,48.4,3.8,6.5,58.3,58.5,-0.2,25.4,0.04,0.4
Draymond Green,GSW,33,F,59,59,43.5,3.3,6.5,50.7,60.9,-10.3,31.3,0.19,0.3
Dorian Finney-Smith,BKN,29,F,53,52,49.5,3.5,6.5,54.8,59.9,-5.1,31.2,0,0.3
Kris Dunn,UTA,28,G,7,7,60.8,3.4,6.4,53.3,58.2,-4.9,22.7,0,0.1
Paolo Banchero,ORL,20,F,60,60,48.6,3.8,6.4,58.8,60.0,-1.2,33.7,0.1,0.3
Paul George,LAC,32,F,51,51,46.6,3.8,6.4,59.1,60.0,-0.9,34.4,0.06,0.1
Deni Avdija,WAS,22,F,65,65,50.5,3.5,6.4,55.8,59.0,-3.2,26.1,0,0.2
Jordan Clarkson,UTA,30,G,61,61,53.9,3.4,6.3,54.3,58.4,-4.1,32.6,0,0.1
Kevin Porter Jr.,HOU,22,G-F,44,44,41.7,4.0,6.3,64.3,58.9,5.4,33.5,0.07,0.1
Caleb Martin,MIA,27,F,58,58,47.7,3.9,6.3,62.3,58.5,3.8,29.8,0.26,0.3
Joshua Primo,SAS,20,G,4,4,61.0,4.0,6.3,64.0,55.8,8.2,23.2,0,0.5
Julius Randle,NYK,28,F-C,68,68,42.9,3.8,6.2,61.3,59.1,2.2,36.0,0,0.2
Harrison Barnes,SAC,30,F,65,65,46.3,3.7,6.2,59.5,59.8,-0.3,32.9,0.08,0.1
Thomas Bryant,DEN,25,C-F,51,50,54.1,3.9,6.1,64.2,60.6,3.6,19.6,0,0.3
Jaylen Brown,BOS,26,G-F,55,55,47.9,3.4,6.1,55.5,59.8,-4.3,36.1,0.02,0.3
Santi Aldama,MEM,22,F-C,62,62,53.5,3.5,6.1,57.8,59.3,-1.5,22.0,0.03,0.4
LaMelo Ball,CHA,21,G,36,35,46.4,3.8,6.1,61.6,57.9,3.7,35.2,0,0.2
Andrew Wiggins,GSW,28,F,37,36,45.4,3.4,6.1,56.0,59.4,-3.4,32.2,0.03,0.2
Jeremiah Robinson-Earl,OKC,22,F,34,33,58.1,3.3,6.0,55.1,60.3,-5.2,20.2,0.03,0.3
Bogdan Bogdanovic,ATL,30,G,42,42,44.2,3.5,6.0,57.7,58.9,-1.2,28.9,0.02,0.0
Karl-Anthony Towns,MIN,27,C-F,21,21,44.1,3.0,6.0,50.8,58.0,-7.2,33.8,0.05,0.3
Killian Hayes,DET,21,G,61,60,52.4,3.5,6.0,59.2,59.2,0.0,26.7,0.11,0.1
Kevin Huerter,SAC,24,G-F,62,62,50.6,3.7,6.0,62.4,58.2,4.2,30.2,0,0.2
Jaden McDaniels,MIN,22,F,65,64,45.0,3.2,6.0,53.6,58.7,-5.1,30.6,0.02,0.4
Kyle Kuzma,WAS,27,F,61,60,47.8,3.2,6.0,53.2,59.3,-6.1,35.2,0.07,0.2
Jaden Ivey,DET,21,G,62,61,51.8,3.7,6.0,62.6,59.1,3.5,30.2,0,0.2
Anthony Edwards,MIN,21,G,68,68,46.2,3.4,5.9,57.9,58.4,-0.5,36.3,0,0.4
Keldon Johnson,SAS,23,F-G,57,56,52.6,3.6,5.9,60.9,60.4,0.6,32.6,0,0.1
CJ McCollum,NOP,31,G,58,58,44.0,3.8,5.9,63.6,59.3,4.3,35.1,0.03,0.2
Dwight Powell,DAL,31,F-C,62,62,52.1,3.5,5.9,58.7,60.6,-1.8,19.9,0,0.2
Tyler Herro,MIA,23,G,54,54,47.0,3.6,5.9,61.9,58.8,3.1,35.4,0,0.1
Naz Reid,MIN,23,C-F,60,59,58.7,3.3,5.9,56.7,60.1,-3.4,18.1,0.07,0.5
Tre Jones,SAS,23,G,55,54,50.2,3.5,5.8,59.8,58.2,1.6,29.1,0.17,0.1
Giannis Antetokounmpo,MIL,28,F,51,51,45.3,2.7,5.8,46.1,60.6,-14.5,32.5,0.04,0.4
Jarred Vanderbilt,LAL,23,F,63,62,52.7,3.5,5.8,60.1,60.6,-0.5,24.1,0,0.1
Mike Conley,MIN,35,G,53,53,50.3,3.5,5.8,59.8,58.4,1.4,29.7,0.08,0.1
Precious Achiuwa,TOR,23,F,44,44,55.3,3.4,5.8,58.7,60.2,-1.6,22.3,0.02,0.5
Jeremy Sochan,SAS,19,F,53,53,49.7,3.2,5.7,55.8,59.9,-4.1,26.2,0.06,0.3
RJ Barrett,NYK,22,F-G,60,60,41.1,3.2,5.7,56.6,58.2,-1.6,34.2,0,0.1
De'Anthony Melton,PHI,24,G,63,63,47.4,3.4,5.7,59.2,57.9,1.3,28.2,0,0.2
Ben Simmons,BKN,26,G-F,42,42,54.3,3.2,5.7,56.1,59.9,-3.8,26.3,0.05,0.3
De'Aaron Fox,SAC,25,G,58,58,42.1,3.6,5.7,64.1,58.3,5.8,34.1,0.09,0.1
Marvin Bagley III,DET,23,F,32,31,50.6,3.4,5.7,60.2,62.5,-2.3,22.6,0.03,0.5
Jrue Holiday,MIL,32,G,54,54,40.9,3.3,5.6,58.6,59.3,-0.7,32.9,0,0.1
Jayson Tatum,BOS,25,F-G,62,62,46.6,3.2,5.6,57.3,58.5,-1.2,37.4,0,0.3
Bruce Brown,DEN,26,G-F,66,65,45.8,3.2,5.6,58.0,58.6,-0.6,28.3,0,0.1
Ja Morant,MEM,23,G,53,53,48.2,3.0,5.6,54.1,58.9,-4.8,32.5,0.06,0.2
Austin Reaves,LAL,24,G,49,47,43.3,3.1,5.6,55.7,57.7,-2.0,27.6,0.31,0.1
James Harden,PHI,33,G,49,48,43.2,3.2,5.5,57.6,59.3,-1.7,36.8,0.04,0.2
Aaron Gordon,DEN,27,F,55,55,51.8,3.0,5.5,54.8,59.2,-4.4,30.0,0.02,0.4
De'Andre Hunter,ATL,25,F-G,57,57,43.5,3.2,5.5,58.0,59.8,-1.8,31.8,0.07,0.1
Nick Richards,CHA,25,C,52,50,54.0,3.0,5.4,54.4,62.0,-7.6,17.6,0.04,0.7
Terry Rozier,CHA,28,G,56,54,42.1,3.3,5.4,61.7,58.3,3.4,35.7,0.04,0.2
DeMar DeRozan,CHI,33,G-F,60,60,45.3,3.3,5.4,61.1,59.4,1.7,36.2,0.17,0.3
Jalen Williams,OKC,21,G-F,60,60,56.6,3.3,5.4,60.2,59.3,0.9,29.5,0.1,0.4
Bobby Portis,MIL,28,F,55,55,49.3,3.3,5.4,61.3,59.7,1.5,26.0,0,0.0
Damian Lillard,POR,32,G,54,53,49.2,3.5,5.4,64.6,59.3,5.3,36.2,0.06,0.1
Dennis Schroder,LAL,29,G,53,53,43.0,3.3,5.4,62.1,58.1,4.0,31.0,0.1,0.0
Dillon Brooks,MEM,27,G-F,59,58,42.6,2.8,5.4,52.7,58.9,-6.2,30.3,0.02,0.1
Donte DiVincenzo,GSW,26,G,57,56,47.7,3.2,5.4,59.2,58.6,0.5,26.2,0,0.1
Patrick Williams,CHI,21,F,66,66,47.8,2.9,5.3,55.1,59.8,-4.7,28.7,0.03,0.4
Herbert Jones,NOP,24,F,49,48,46.3,3.5,5.3,65.0,59.6,5.4,29.1,0.26,0.2
Kawhi Leonard,LAC,31,F,40,40,45.1,2.8,5.3,52.4,60.7,-8.3,33.4,0.03,0.2
Zach LaVine,CHI,28,G,62,62,41.2,2.9,5.3,54.9,58.0,-3.2,35.9,0,0.2
D'Angelo Russell,LAL,27,G,59,59,46.8,3.1,5.3,58.2,57.4,0.8,32.4,0.03,0.2
Moritz Wagner,ORL,25,F-C,46,46,47.6,3.5,5.3,66.9,60.8,6.1,21.0,0.28,0.1
O.G. Anunoby,TOR,25,F,54,54,44.9,2.7,5.2,51.8,59.9,-8.1,35.8,0.11,0.4
Immanuel Quickley,NYK,23,G,67,67,46.2,2.9,5.2,56.4,57.7,-1.3,28.1,0.01,0.1
Devin Booker,PHX,26,G,39,38,42.1,2.9,5.2,54.7,59.6,-4.9,34.1,0,0.2
Bennedict Mathurin,IND,20,G-F,67,67,52.2,2.9,5.2,55.9,59.1,-3.2,27.8,0.03,0.1
Stephen Curry,GSW,34,G,41,41,45.7,2.8,5.2,54.5,58.4,-3.9,34.5,0.15,0.1
LeBron James,LAL,38,F,47,46,46.6,3.0,5.2,58.2,60.4,-2.2,36.1,0.15,0.3
Devin Vassell,SAS,22,G-F,32,32,55.9,3.0,5.2,57.8,58.2,-0.4,30.9,0,0.2
Troy Brown Jr.,LAL,23,G-F,61,61,46.5,3.1,5.2,59.8,59.4,0.4,24.6,0.02,0.1
Bojan Bogdanovic,DET,33,F,59,58,46.2,3.4,5.2,64.9,59.9,5.0,32.1,0,0.1
Tobias Harris,PHI,30,F,61,60,49.0,3.1,5.2,59.7,59.0,0.7,33.4,0,0.2
Corey Kispert,WAS,24,F,59,59,51.6,3.0,5.1,58.7,58.4,0.4,27.4,0,0.1
Kyle Lowry,MIA,36,G,44,44,45.6,3.2,5.1,63.1,59.7,3.4,33.3,0.25,0.2
Jalen Brunson,NYK,26,G,62,62,40.1,3.1,5.1,60.6,57.0,3.6,34.9,0.4,0.1
Keegan Murray,SAC,22,F,63,62,52.1,3.0,5.1,59.5,58.2,1.3,29.8,0.13,0.3
Spencer Dinwiddie,BKN,29,G,65,64,46.1,3.0,5.1,59.4,59.6,-0.2,34.1,0.03,0.1
Delon Wright,WAS,30,G,38,38,48.1,3.0,5.1,59.6,58.3,1.3,24.3,0.03,0.1
Jalen Smith,IND,22,F-C,54,52,55.9,2.9,5.1,58.0,60.4,-2.3,18.2,0.07,0.6
Brandon Ingram,NOP,25,F,30,30,47.4,2.9,5.1,56.6,60.5,-3.9,32.7,0.06,0.1
Reggie Bullock,DAL,31,G-F,64,63,49.2,3.1,5.1,61.4,59.5,1.9,30.3,0,0.1
Patrick Beverley,CHI,34,G,52,52,46.0,3.3,5.0,65.6,59.6,6.0,27.1,0.27,0.2
Jerami Grant,POR,28,F,62,62,44.0,2.9,5.0,58.3,59.9,-1.6,35.8,0.13,0.5
Trey Murphy III,NOP,22,F,62,61,44.8,3.3,5.0,64.7,59.9,4.9,29.5,0,0.2
Jared Butler,OKC,22,G,1,1,45.5,3.0,5.0,60.0,48.3,11.7,9.5,0,0
Trae Young,ATL,24,G,60,59,47.6,2.9,5.0,57.3,57.4,0.0,35.1,0.07,0.1
Chris Paul,PHX,37,G,45,45,45.0,2.6,5.0,52.9,59.0,-6.1,32.0,0.07,0.1
James Wiseman,DET,21,C,29,28,55.3,3.2,5.0,64.8,62.1,2.8,16.5,0,0.4
Tim Hardaway Jr.,DAL,30,G-F,61,61,42.8,3.0,5.0,60.3,59.3,1.0,30.2,0.3,0.0
Isaiah Hartenstein,NYK,24,C-F,68,66,51.4,2.8,5.0,55.8,60.1,-4.3,19.4,0.04,0.5
Jamal Murray,DEN,26,G,53,53,40.9,3.3,5.0,65.2,58.1,7.0,32.7,0.08,0.1
Jalen Green,HOU,21,G,60,57,43.7,3.1,5.0,63.1,59.4,3.7,33.6,0,0.1
Caris LeVert,CLE,28,G,63,63,47.5,2.7,5.0,54.6,58.8,-4.2,29.8,0.05,0.1
Quentin Grimes,NYK,22,G,56,53,42.9,2.9,5.0,58.5,58.2,0.3,29.4,0.02,0.2
Zion Williamson,NOP,22,F,28,28,40.4,2.8,4.9,55.8,58.8,-3.0,33.0,0,0.3
Xavier Tillman,MEM,24,F,44,42,53.2,2.7,4.9,53.9,60.2,-6.2,17.3,0,0.2
Mitchell Robinson,NYK,24,C-F,46,46,43.1,2.7,4.9,55.8,59.9,-4.1,27.5,0,1.1
Marcus Morris Sr.,LAC,33,F,58,57,47.2,2.9,4.9,59.9,59.7,0.2,28.4,0,0.2
Isaiah Livers,DET,24,F,44,42,55.6,2.7,4.9,55.3,58.7,-3.3,22.1,0.02,0.2
Trendon Watford,POR,22,F,48,43,53.7,3.0,4.9,61.1,59.4,1.7,17.5,0.14,0.0
John Konchar,MEM,26,G,57,56,50.6,2.7,4.9,55.4,57.7,-2.3,21.7,0.11,0.1
Andrew Nembhard,IND,23,G-F,60,57,44.6,2.5,4.9,50.7,59.1,-8.4,26.6,0.17,0.1
